Building ID,Project ID,Project Name,Program Group,Address,Borough,Postcode,Latitude,Longitude,Project Start Date,Extremely Low Income Units,Very Low Income Units,Low Income Units,Moderate Income Units,Middle Income Units,Studio Units,1-BR Units,2-BR Units,3-BR+ Units,Counted Rental Units,Counted Homeownership Units
1003153,65554,BRIDGE ROCKAWAY,Multifamily Finance Program,805 ROCKAWAY AVENUE,Brooklyn,11212.0,40.66005,-73.907972,2022-03-31,122,38,13,0,0,85,17,46,25,173,0
1002488,69099,VOA. 1746 ANDREWS AVENUE SOUTH,Multifamily Finance Program,1746 ANDREWS AVENUE SOUTH,Bronx,10453.0,40.85028,-73.916947,2022-03-31,117,0,0,0,0,93,24,1,0,118,0
1003176,69567,ASLAND CAPITAL. 1940 TURNBULL AVE. PL SARA,Multifamily Finance Program,1940 TURNBULL AVENUE,Bronx,10473.0,40.82262,-73.856777,2022-03-31,153,0,0,0,0,122,31,1,0,154,0
40677,67442,505 WEST 134 STREET CLUSTER,Multifamily Finance Program,505 WEST 134 STREET,Manhattan,10031.0,40.81864,-73.953119,2022-03-22,0,11,0,8,0,0,0,14,5,0,19
40693,67442,505 WEST 134 STREET CLUSTER,Multifamily Finance Program,523 WEST 134 STREET,Manhattan,10031.0,40.81914,-73.954308,2022-03-22,0,17,0,8,0,0,1,16,8,0,25
40696,67442,505 WEST 134 STREET CLUSTER,Multifamily Finance Program,527 WEST 134 STREET,Manhattan,10031.0,40.81927,-73.954611,2022-03-22,0,17,0,8,0,0,1,16,8,0,25
9798,68803,TURIN HOUSE HDFC.PLP.FY22,Multifamily Finance Program,609 COLUMBUS AVENUE,Manhattan,10024.0,40.7886,-73.970128,2022-03-11,0,188,0,0,0,9,45,90,45,0,189
991751,68808,HP 319-321 WEST 38TH STREET HDFC.HPO.FY22,Multifamily Finance Program,319 WEST 38 STREET,Manhattan,10018.0,40.75533,-73.992514,2022-03-11,0,0,0,6,5,8,2,1,0,11,0
1002723,71700,641 EAST 28TH STREET,Multifamily Incentives Program,641 EAST 28 STREET,Brooklyn,11210.0,40.63506,-73.949516,2022-03-10,0,0,6,0,0,1,2,3,0,6,0
1002602,71223,11 GERRY STREET,Multifamily Incentives Program,11 GERRY STREET,Brooklyn,11206.0,40.70074,-73.949289,2022-03-08,0,53,52,15,0,0,40,40,40,120,0
140529,72188,116 15TH STREET,Multifamily Incentives Program,116 15 STREET,Brooklyn,11215.0,40.6671,-73.993068,2022-03-08,0,0,0,0,6,1,2,3,0,6,0
357764,72189,1223 PUTNAM AVENUE APARTMENTS,Multifamily Incentives Program,1223 PUTNAM AVENUE,Brooklyn,11221.0,40.6914,-73.915858,2022-03-04,0,0,0,0,6,0,3,3,0,6,0
1003180,72190,6327 BROADWAY APARTMENTS,Multifamily Incentives Program,6327 BROADWAY,Bronx,,,,2022-03-02,0,0,0,0,27,0,23,4,0,27,0
995712,70138,10 MARCY AVE,Multifamily Incentives Program,416 METROPOLITAN AVENUE,Brooklyn,11211.0,40.71376,-73.954856,2022-03-01,0,0,24,0,0,6,13,5,0,24,0
185984,72191,2361 ATLANTIC AVENUE,Multifamily Incentives Program,2361 ATLANTIC AVENUE,Brooklyn,11233.0,40.67642,-73.906875,2022-02-24,0,0,0,0,9,0,5,4,0,9,0
529131,67201,HABITAT NET ZERO,Multifamily Finance Program,126-01 116 AVENUE,Queens,11420.0,40.67727,-73.812582,2022-02-23,0,0,0,1,0,0,0,1,0,0,1
543067,67201,HABITAT NET ZERO,Multifamily Finance Program,114-11 130 STREET,Queens,11420.0,40.68093,-73.811097,2022-02-23,0,0,0,1,0,0,0,0,1,0,1
547824,67201,HABITAT NET ZERO,Multifamily Finance Program,133-24 135 PLACE,Queens,11420.0,40.66826,-73.802925,2022-02-23,0,0,1,0,0,0,0,0,1,0,1
603516,67201,HABITAT NET ZERO,Multifamily Finance Program,106-10 215 STREET,Queens,11429.0,40.71074,-73.743806,2022-02-23,0,0,1,0,0,0,0,0,1,0,1
654963,67201,HABITAT NET ZERO,Multifamily Finance Program,142-06 FOCH BOULEVARD,Queens,11436.0,40.67851,-73.799358,2022-02-23,0,0,1,0,0,0,0,0,1,0,1
989014,67201,HABITAT NET ZERO,Multifamily Finance Program,198-16 116 AVENUE,Queens,11412.0,40.6954,-73.753999,2022-02-23,0,0,1,0,0,0,0,0,1,0,1
989015,67201,HABITAT NET ZERO,Multifamily Finance Program,117-11 143 STREET,Queens,11436.0,40.67879,-73.797713,2022-02-23,0,0,0,1,0,0,0,0,1,0,1
989017,67201,HABITAT NET ZERO,Multifamily Finance Program,214-15 HOLLIS AVENUE,Queens,11429.0,40.71011,-73.743813,2022-02-23,0,0,0,2,0,0,0,0,2,0,2
989018,67201,HABITAT NET ZERO,Multifamily Finance Program,99-19 194 STREET,Queens,11423.0,40.70971,-73.764706,2022-02-23,0,0,2,0,0,0,0,0,2,0,2
989021,67201,HABITAT NET ZERO,Multifamily Finance Program,209-26 NASHVILLE BOULEVARD,Queens,11411.0,40.69874,-73.743445,2022-02-23,0,0,0,2,0,0,0,0,2,0,2
989026,67201,HABITAT NET ZERO,Multifamily Finance Program,100-40 202 STREET,Queens,11423.0,40.70981,-73.757473,2022-02-23,0,0,1,0,0,0,0,0,1,0,1
989028,67201,HABITAT NET ZERO,Multifamily Finance Program,111-50 WITTHOFF STREET,Queens,11429.0,40.70652,-73.743509,2022-02-23,0,0,1,0,0,0,0,1,0,0,1
989029,67201,HABITAT NET ZERO,Multifamily Finance Program,202-06 116 AVENUE,Queens,11412.0,40.6963,-73.750681,2022-02-23,0,0,1,0,0,0,0,0,1,0,1
1002206,72192,320 WEST 135TH STREET APARTMENTS,Multifamily Incentives Program,320 WEST 135 STREET,Manhattan,10030.0,40.81682,-73.947766,2022-02-22,0,0,0,0,6,0,3,3,0,6,0
210816,72193,48 BLEECKER STREET APARTMENTS,Multifamily Incentives Program,48 BLEECKER STREET,Brooklyn,11221.0,40.69381,-73.922158,2022-02-22,0,0,0,0,3,0,1,2,0,3,0
1002316,70812,3184 WEBSTER AVENUE,Multifamily Incentives Program,3184 WEBSTER AVENUE,Bronx,10467.0,40.87309,-73.874436,2022-02-15,0,0,30,0,0,3,27,0,0,30,0
1002510,72194,729 LIBERTY AVENUE,Multifamily Incentives Program,729 LIBERTY AVENUE,Brooklyn,11208.0,40.67664,-73.882882,2022-02-15,0,0,0,0,6,4,2,0,0,6,0
1002298,72195,762 EAST 213RD STREET,Multifamily Incentives Program,762 EAST 213 STREET,Bronx,10467.0,40.87819,-73.862569,2022-02-15,0,0,0,0,3,1,2,0,0,3,0
940249,72196,114 SEIGEL STREET,Multifamily Incentives Program,114 SEIGEL STREET,Brooklyn,11206.0,40.70434,-73.941795,2022-02-14,0,0,2,0,0,0,2,0,0,2,0
994366,69619,THE HART - VITAL BROOKLYN RFP SITE C INTERFAITH BROADWAY,Multifamily Incentives Program,1038 BROADWAY,Brooklyn,11221.0,40.69523,-73.932716,2022-02-10,0,0,8,0,0,7,1,0,0,8,0
205596,72197,1259 BEDFORD AVENUE APARTMENTS,Multifamily Incentives Program,1259 BEDFORD AVENUE,Brooklyn,11216.0,40.68004,-73.952921,2022-02-08,0,0,0,0,14,6,6,2,0,14,0
991167,68747,88 EAST 127TH STREET,Multifamily Incentives Program,88 EAST 126 STREET,Manhattan,10035.0,,,2022-02-03,0,32,0,0,0,13,6,13,0,32,0
319857,72198,125 KINGS HIGHWAY APARTMENTS,Multifamily Incentives Program,125 KINGS HIGHWAY,Brooklyn,11223.0,40.60624,-73.986704,2022-01-31,0,0,0,0,19,0,2,17,0,19,0
326726,72112,845 LINCOLN PLACE,Homeowner Assistance Program,845 LINCOLN PLACE,Brooklyn,11216.0,40.67091,-73.948475,2022-01-28,0,0,0,2,0,0,0,0,0,0,2
976859,72199,912 BROADWAY APARTMENTS,Multifamily Incentives Program,912 BROADWAY,Brooklyn,11206.0,40.69733,-73.93676,2022-01-28,0,0,0,0,25,0,12,13,0,25,0
424673,72200,95-01 37TH AVENUE APARTMENTS,Multifamily Incentives Program,95-01 37 AVENUE,Queens,11372.0,40.75141,-73.871966,2022-01-28,0,0,0,0,14,0,7,7,0,14,0
10014,72201,469 CONVENT AVENUE APARTMENTS,Multifamily Incentives Program,461 CONVENT AVENUE,Manhattan,10031.0,40.82786,-73.943577,2022-01-28,0,0,0,0,6,3,3,0,0,6,0
